fighter,mma_record,height,weight,reach,stance,dob,sig_str_per_min,sig_str_acc,sig_str_absorbed_per_min,sig_str_def,td_avg,td_acc,td_def,sub_avg
Mario Sperry,Record: 13-4-0,188.0,Lightheavyweight,,Orthodox,1966-09-28,2.81,52%,1.53,47%,2.09,42%,71%,1.4
Marion Reneau,Record: 9-8-1,167.6,Bantamweight,172.7,Orthodox,1977-06-20,3.20,41%,3.52,59%,0.62,63%,50%,0.8
Marius Enache,Record: 3-3-0,180.3,Lightweight,,,1975-10-16,1.71,34%,0.66,84%,3.94,100%,0%,3.9
Marius Zaromskis,Record: 20-9-0 (1 NC),175.3,Welterweight,,Orthodox,1980-07-30,5.02,34%,5.93,50%,0.73,42%,73%,0.0
Mariusz Ksiazkiewicz,Record: 8-1-0,190.5,Middleweight,190.5,Southpaw,1989-10-04,0.93,45%,3.40,39%,4.00,100%,0%,2.0
Mariya Agapova,Record: 10-4-0,167.6,Flyweight,172.7,Southpaw,1997-04-07,4.67,55%,3.82,52%,0.59,66%,47%,0.9
Mark Bocek,Record: 12-5-0,172.7,Lightweight,190.5,Orthodox,1981-10-24,2.34,43%,2.32,60%,3.65,36%,31%,1.3
Mark Cherico,Record: 11-1-0,170.2,Featherweight,175.3,Orthodox,1986-05-12,3.69,34%,7.37,56%,5.03,50%,0%,0.0
Mark Climaco,Record: 9-1-0,162.6,Flyweight,165.1,Southpaw,1997-11-06,6.20,61%,4.27,60%,6.00,35%,0%,0.0
Mark Coleman,Record: 16-10-0,185.4,Lightheavyweight,190.5,Orthodox,1964-12-20,1.88,52%,2.62,40%,3.89,40%,50%,0.8
Mark De La Rosa,Record: 11-5-0,167.6,Bantamweight,165.1,Orthodox,1994-08-31,3.13,35%,5.00,48%,0.54,13%,40%,0.2
Mark Dickman,Record: 11-3-0,175.3,Featherweight,,,1984-07-19,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mark Eddiva,Record: 6-3-0,172.7,Featherweight,172.7,Orthodox,1986-02-16,3.37,45%,2.98,54%,1.45,22%,63%,0.0
Mark Godbeer,Record: 13-4-0,193.0,Heavyweight,195.6,Orthodox,1983-11-22,3.97,53%,3.30,54%,0.00,0%,28%,0.0
Mark Hall,Record: 5-6-0,182.9,Middleweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mark Holst,Record: 12-6-0,182.9,Lightweight,,Orthodox,1985-08-14,0.25,19%,1.67,47%,0.76,100%,60%,2.3
Mark Hominick,Record: 20-12-0,172.7,Featherweight,172.7,Orthodox,1982-07-22,4.08,42%,4.18,69%,0.25,66%,71%,0.9
Mark Hughes,Record: 6-2-0,175.3,Lightheavyweight,,Southpaw,1973-10-13,0.90,47%,0.40,42%,3.00,50%,0%,4.5
Mark Hunt,Record: 13-14-1 (1 NC),177.8,Heavyweight,182.9,Orthodox,1974-03-23,2.81,43%,2.90,51%,0.51,55%,64%,0.2
Mark Kerr,Record: 15-11-0 (1 NC),190.5,Heavyweight,,Switch,1968-12-21,0.28,41%,0.89,28%,2.92,77%,0%,0.4
Mark Madsen,Record: 12-1-0,172.7,Lightweight,182.9,Orthodox,1984-09-23,3.24,47%,3.67,53%,3.09,66%,62%,0.0
Mark Munoz,Record: 14-6-0,182.9,Middleweight,180.3,Orthodox,1978-02-09,3.12,51%,2.26,57%,3.17,29%,57%,0.6
Mark Robinson,Record: 1-0-0 (1 NC),182.9,Heavyweight,,Orthodox,,0.00,0%,5.80,13%,0.00,0%,0%,0.0
Mark Scanlon,Record: 9-2-0,175.3,Welterweight,,Orthodox,,2.20,35%,3.33,48%,3.00,75%,25%,2.0
Mark Schultz,Record: 1-1-0,175.3,Middleweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mark Striegl,Record: 18-4-0 (1 NC),172.7,Featherweight,177.8,Southpaw,1988-06-23,1.40,45%,4.07,40%,0.00,0%,66%,0.0
Mark Vorgeas,Record: 5-3-1,177.8,Bantamweight,,,,3.87,32%,4.19,51%,0.00,0%,50%,0.8
Mark Weir,Record: 21-18-1,188.0,Middleweight,,Southpaw,1967-09-19,1.54,56%,2.50,38%,0.80,50%,25%,2.4
Marko Damiani,Record: 0-2-0,182.9,Welterweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Markus Perez,Record: 12-5-0,185.4,Middleweight,185.4,Orthodox,1988-06-22,2.60,47%,3.72,52%,0.81,25%,77%,1.0
Marloes Coenen,Record: 23-8-0,175.3,Featherweight,170.2,,1981-03-31,2.15,51%,1.90,67%,0.82,30%,41%,2.5
Marlon Moraes,Record: 23-10-1,167.6,Bantamweight,170.2,Orthodox,1988-04-26,3.37,40%,4.53,54%,0.87,41%,46%,0.3
Marlon Sims,Record: 3-4-0,,Welterweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marlon Vera,Record: 20-8-1,172.7,Bantamweight,177.8,Switch,1992-12-02,4.09,49%,5.02,51%,0.61,40%,69%,1.0
Marnic Mann,Record: 5-1-0,152.4,Flyweight,162.6,Southpaw,1993-03-05,1.99,55%,4.19,18%,4.71,37%,0%,0.0
Marques Daniels,Record: 5-5-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Martin Bravo,Record: 11-3-0,172.7,Featherweight,180.3,Southpaw,1993-09-21,7.66,39%,5.72,51%,2.60,35%,85%,0.0
Martin Buday,Record: 12-1-0,193.0,Heavyweight,195.6,Orthodox,1991-11-11,5.22,51%,5.33,55%,0.00,0%,100%,0.0
Martin Buschkamp,Record: 9-0-0 (1 NC),175.3,Featherweight,,Orthodox,1991-01-06,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Martin Day,Record: 8-6-0,177.8,Featherweight,185.4,Orthodox,1988-11-10,3.97,45%,3.79,53%,0.72,60%,65%,0.5
Martin Kampmann,Record: 20-7-0,182.9,Welterweight,182.9,Orthodox,1982-04-17,3.22,42%,3.28,62%,1.86,41%,78%,2.0
Martin Sano,Record: 4-3-1,180.3,Welterweight,190.5,Orthodox,1991-05-30,4.00,33%,12.00,40%,0.00,0%,0%,0.0
Martin Svensson,Record: 15-6-0,185.4,Lightweight,,,1985-04-25,2.02,38%,5.91,38%,0.00,0%,0%,0.0
Marvin Eastman,Record: 18-15-1,175.3,Middleweight,185.4,Orthodox,1971-06-08,2.21,35%,3.92,42%,1.38,33%,81%,0.0
Marvin Maldonado,Record: 2-4-0 (1 NC),167.6,Bantamweight,,,,0.87,56%,3.47,43%,0.00,0%,20%,0.0
Marvin Vettori,Record: 19-7-1,182.9,Middleweight,188.0,Southpaw,1993-09-20,4.56,45%,4.24,56%,1.66,45%,69%,0.5
Maryna Moroz,Record: 11-4-0,170.2,Flyweight,170.2,Orthodox,1991-09-08,4.19,31%,4.36,53%,0.69,22%,47%,0.7
Masaaki Satake,Record: 1-8-1,185.4,Lightheavyweight,,Orthodox,1965-08-17,1.40,35%,3.76,41%,0.00,0%,58%,0.0
Masakatsu Funaki,Record: 39-13-2,182.9,Middleweight,,Southpaw,1969-03-13,1.82,68%,2.92,35%,0.00,0%,0%,5.5
Masakatsu Okuda,Record: 8-5-0,,,,,,0.00,0%,4.27,34%,0.00,0%,0%,4.3
Masakazu Imanari,Record: 36-16-2,162.6,Bantamweight,,Southpaw,1976-02-10,0.55,30%,1.74,57%,0.00,0%,0%,2.1
Masanori Kanehara,Record: 26-12-5,170.2,Bantamweight,170.2,Orthodox,1982-11-19,1.88,49%,1.63,62%,1.44,50%,63%,0.9
Masanori Suda,Record: 22-11-3,175.3,Welterweight,,Orthodox,,1.80,50%,1.20,63%,0.00,0%,60%,0.0
Masanori Tonooka,Record: 1-2-0,172.7,Middleweight,,Orthodox,,0.16,5%,1.09,36%,0.00,0%,0%,0.0
Masio Fullen,Record: 11-7-0,177.8,Featherweight,177.8,Orthodox,1986-10-06,2.46,32%,3.50,54%,0.47,33%,69%,0.0
Mason Fowler,Record: 2-0-0,180.3,Welterweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mason Jones,Record: 11-2-0 (1 NC),177.8,Lightweight,188.0,Orthodox,1995-04-26,5.61,44%,4.94,46%,3.16,45%,80%,0.0
Masutatsu Yano,Record: 2-4-1,175.3,Middleweight,,Orthodox,1975-07-11,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Matej Penaz,Record: 6-1-0,190.5,Middleweight,210.8,Southpaw,1996-10-14,1.28,33%,2.55,33%,0.00,0%,0%,0.0
Mateo Vogel,Record: 8-2-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mateus Mendonca,Record: 10-1-0,167.6,Bantamweight,180.3,Orthodox,1999-01-17,2.41,38%,6.27,29%,1.90,18%,40%,0.0
Mateusz Gamrot,Record: 22-2-0 (1 NC),177.8,Lightweight,177.8,Southpaw,1990-12-11,3.03,51%,3.23,60%,4.54,31%,90%,0.2
Mateusz Rebecki,Record: 17-1-0,170.2,Lightweight,167.6,Southpaw,1992-11-03,4.92,51%,2.05,62%,4.15,62%,66%,0.8
Matheus Nicolau,Record: 19-4-1,167.6,Flyweight,167.6,Orthodox,1993-01-06,3.66,53%,3.14,66%,1.48,45%,93%,0.9
Matheus Scheffel,Record: 14-7-0,188.0,Lightheavyweight,190.5,Orthodox,1992-11-04,1.33,36%,3.00,47%,0.00,0%,100%,0.0
Mats Nilsson,Record: 11-4-1,185.4,Welterweight,,Orthodox,1983-12-05,2.99,39%,5.62,63%,3.87,83%,44%,2.3
Matt Andersen,Record: 14-8-1,188.0,Heavyweight,,Southpaw,1971-05-29,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Matt Arroyo,Record: 3-3-0,177.8,Welterweight,182.9,Orthodox,1982-09-01,1.62,47%,2.01,58%,2.12,36%,100%,5.3
Matt Bessette,Record: 22-9-0 (1 NC),177.8,Featherweight,177.8,Orthodox,1984-12-28,4.36,41%,4.45,58%,0.64,28%,61%,0.3
Matt Brown,Record: 26-19-0,182.9,Welterweight,190.5,Orthodox,1981-01-10,3.76,55%,2.92,55%,1.68,46%,63%,1.3
Matt Dixon,Record: 9-1-0,177.8,Welterweight,190.5,Switch,1995-10-09,1.97,43%,4.56,37%,3.06,30%,0%,0.0
Matt Dwyer,Record: 9-4-0,193.0,Welterweight,193.0,Orthodox,1989-12-17,2.57,34%,3.24,54%,0.44,10%,60%,0.0
Matt Foki,Record: 5-4-0 (1 NC),170.2,Lightheavyweight,,Orthodox,,0.00,0%,3.37,56%,0.00,0%,0%,0.0
Matt Frevola,Record: 11-3-1,175.3,Lightweight,180.3,Orthodox,1990-06-11,3.72,41%,3.56,59%,2.26,36%,42%,0.9
Matt Grice,Record: 15-5-0,172.7,Featherweight,177.8,Orthodox,1981-07-29,4.09,53%,2.69,56%,2.19,37%,82%,0.5
Matt Hamill,Record: 12-8-0,185.4,Lightheavyweight,193.0,Orthodox,1976-10-05,3.69,42%,3.80,61%,3.00,34%,91%,0.0
Matt Helm,Record: 1-1-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Matt Hobar,Record: 9-3-0,177.8,Bantamweight,177.8,Southpaw,1987-01-07,3.23,42%,4.27,52%,3.66,44%,50%,0.0
Matt Horning,Record: 20-25-0 (1 NC),162.6,Flyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Matt Horwich,Record: 30-25-1,185.4,Middleweight,,Orthodox,1978-10-02,1.11,62%,2.16,38%,0.33,9%,28%,2.7
Matt Hughes,Record: 45-9-0,175.3,Welterweight,185.4,Switch,1973-10-13,2.14,53%,1.36,53%,2.95,50%,35%,1.2
Matt Kovacs,Record: 12-16-0,182.9,Heavyweight,,Orthodox,,1.47,22%,4.87,44%,1.00,25%,0%,0.0
Matt Lee,Record: 14-10-1,180.3,Lightweight,,Orthodox,,0.00,0%,9.68,21%,0.00,0%,0%,0.0
Matt Lindland,Record: 22-9-0,182.9,Middleweight,188.0,Southpaw,1970-05-17,2.62,50%,1.56,52%,3.01,48%,60%,1.3
Matt Lucas,Record: 15-3-0,185.4,Lightheavyweight,,,,1.27,48%,3.93,40%,1.00,10%,0%,0.0
Matt Mitrione,Record: 12-5-0,190.5,Heavyweight,208.3,Switch,1978-07-15,3.55,50%,2.79,64%,0.00,0%,55%,0.7
Matt Pedro,Record: 3-1-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Matt Ramirez,Record: 2-3-0,165.1,Flyweight,,,,3.03,50%,0.67,75%,2.53,16%,100%,0.0
Matt Ricehouse,Record: 6-1-0,,Lightweight,,,1987-03-11,3.70,44%,4.80,47%,1.00,22%,81%,0.0
Matt Sayles,Record: 8-4-0,170.2,Lightweight,172.7,Orthodox,1994-02-21,4.83,41%,2.81,61%,0.36,16%,81%,0.7
Matt Schnell,Record: 16-7-0 (1 NC),172.7,Flyweight,177.8,Orthodox,1990-01-15,4.24,39%,4.46,55%,0.63,44%,46%,1.1
Matt Secor,Record: 8-4-0,182.9,Welterweight,,,1986-09-26,0.51,20%,0.81,50%,3.03,100%,0%,3.0
Matt Serra,Record: 11-7-0,167.6,Welterweight,172.7,Orthodox,1974-06-02,1.98,39%,2.64,46%,2.05,20%,38%,0.9
Matt Skelton,Record: 0-1-0,190.5,Heavyweight,,Orthodox,1967-01-23,0.00,0%,0.54,0%,0.00,0%,66%,0.0
Matt Van Buren,Record: 7-6-0,195.6,Lightheavyweight,,,1986-06-12,7.73,45%,6.82,49%,0.00,0%,50%,0.0
Matt Veach,Record: 17-5-0,180.3,Lightweight,,Orthodox,1981-05-31,1.12,28%,4.91,44%,3.64,38%,100%,1.5
Matt Wiman,Record: 16-10-0,177.8,Lightweight,172.7,Orthodox,1983-09-19,3.17,50%,3.57,51%,2.13,37%,56%,1.5
Matthew Lopez,Record: 10-4-0,170.2,Bantamweight,175.3,Southpaw,1987-01-21,3.13,50%,3.73,55%,3.32,60%,71%,1.3
Matthew Riddle,Record: 8-3-0 (2 NC),185.4,Welterweight,193.0,Southpaw,1986-01-14,3.01,42%,2.74,54%,3.51,50%,89%,0.5
Matthew Semelsberger,Record: 11-5-0,185.4,Welterweight,190.5,Switch,1992-11-23,4.05,43%,4.21,56%,1.16,70%,52%,0.2
Maurice Eazel,Record: 7-15-0,170.2,Bantamweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Maurice Greene,Record: 9-7-0,200.7,Heavyweight,203.2,Orthodox,1986-07-05,3.28,45%,3.61,45%,0.00,0%,27%,0.4
Maurice Mitchell,Record: 11-2-0,175.3,Featherweight,,Orthodox,1987-06-29,3.80,55%,3.54,60%,0.00,0%,100%,0.0
Maurice Smith,Record: 12-14-0,188.0,Lightheavyweight,,Orthodox,1961-12-13,0.41,46%,0.47,60%,0.89,50%,20%,0.9
Mauricio Alonso,Record: 13-7-0 (1 NC),188.0,Welterweight,,,1980-02-27,5.74,34%,1.91,67%,0.00,0%,0%,0.0
Mauricio Rua,Record: 27-14-1,185.4,Lightheavyweight,193.0,Orthodox,1981-11-25,3.57,50%,2.79,54%,2.01,48%,49%,0.7
Max Griffin,Record: 19-9-0,180.3,Welterweight,193.0,Orthodox,1985-11-29,4.23,50%,3.87,57%,1.60,50%,71%,0.3
Max Holloway,Record: 24-7-0,180.3,Featherweight,175.3,Orthodox,1991-12-04,7.16,47%,4.79,59%,0.28,53%,84%,0.3
Max Martyniouk,Record: 1-1-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Max Mustaki,Record: 6-3-0,182.9,Lightweight,,Orthodox,1987-11-07,8.20,50%,13.00,45%,0.00,0%,0%,0.0
Max Rohskopf,Record: 5-1-0,185.4,Lightweight,180.3,Orthodox,1994-09-27,1.70,31%,5.80,42%,3.00,33%,0%,1.5
Maxim Grishin,Record: 32-10-2,190.5,Lightheavyweight,198.1,Orthodox,1984-05-02,3.26,52%,2.27,58%,0.21,16%,66%,0.0
Maximo Blanco,Record: 12-8-1 (1 NC),172.7,Featherweight,180.3,Orthodox,1983-10-16,4.11,44%,3.19,66%,1.85,36%,63%,0.3
Mayana Kellem,Record: 7-1-0,165.1,Bantamweight,,Orthodox,1981-07-07,1.94,22%,2.90,62%,0.00,0%,0%,0.0
Maycee Barber,Record: 12-2-0,165.1,Flyweight,165.1,Switch,1998-05-18,4.27,51%,2.63,54%,1.23,37%,47%,0.1
Mayra Bueno Silva,Record: 10-2-1,167.6,Bantamweight,167.6,Orthodox,1991-08-22,4.20,54%,4.71,58%,0.38,50%,67%,1.5
Megan Anderson,Record: 11-5-0,182.9,Featherweight,182.9,Orthodox,1990-02-11,1.76,46%,3.35,37%,0.52,25%,53%,0.5
Megumi Fujii,Record: 26-3-0,160.0,Flyweight,,,1974-04-26,2.40,42%,0.00,100%,0.00,0%,0%,12.0
Mehdi Baghdad,Record: 11-5-0,185.4,Lightweight,,Orthodox,1985-04-13,3.13,30%,4.56,46%,0.00,0%,33%,0.0
Melchor Manibusan,Record: 2-4-0,165.1,Lightweight,,Southpaw,1976-12-27,1.58,54%,5.79,15%,0.00,0%,0%,0.0
Melinda Fabian,Record: 4-4-2,167.6,Flyweight,167.6,,1987-06-25,4.03,41%,4.00,62%,0.00,0%,100%,0.0
Melissa Dixon,Record: 5-0-0,,Bantamweight,,,1991-07-23,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Melissa Gatto,Record: 8-1-2,165.1,Flyweight,175.3,Orthodox,1996-05-02,3.27,51%,2.60,53%,1.68,33%,70%,0.4
Melissa Martinez,Record: 7-1-0,157.5,Flyweight,167.6,Southpaw,1997-08-18,3.00,57%,2.53,45%,1.00,50%,0%,0.0
Melquizael Costa,Record: 19-6-0,177.8,Featherweight,180.3,Southpaw,1996-09-14,2.53,46%,2.42,33%,0.00,0%,42%,0.0
Melsik Baghdasaryan,Record: 7-2-0,175.3,Featherweight,177.8,Southpaw,1992-01-28,5.63,61%,3.28,55%,0.00,0%,76%,0.0
Melton Bowen,Record: 0-1-0,182.9,Heavyweight,,Orthodox,1969-07-16,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Melvin Guillard,Record: 32-18-2 (3 NC),175.3,Lightweight,180.3,Orthodox,1983-03-30,2.96,40%,1.85,66%,1.30,63%,61%,0.2
Melvin Manhoef,Record: 30-14-1 (2 NC),175.3,Middleweight,,Orthodox,1976-05-11,3.52,48%,2.64,51%,0.33,25%,78%,0.0
Merab Dvalishvili,Record: 16-4-0,167.6,Bantamweight,172.7,Orthodox,1991-01-10,4.46,41%,2.41,56%,6.55,36%,78%,0.3
Merritt Warren,Record: 3-3-0,177.8,Lightweight,,Southpaw,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Micah Miller,Record: 20-8-0 (1 NC),182.9,Featherweight,,Orthodox,1987-02-14,1.33,33%,2.15,54%,0.98,37%,21%,2.0
Michael Bisping,Record: 30-9-0,185.4,Middleweight,190.5,Orthodox,1979-02-28,4.33,38%,2.71,65%,1.05,43%,63%,0.3
Michael Bravo,Record: 7-4-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Michael Byrnes,Record: 5-3-0,180.3,Lightweight,,,1990-07-17,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Michael Chandler,Record: 23-8-0,172.7,Lightweight,180.3,Orthodox,1986-04-24,4.89,46%,4.58,46%,2.17,38%,71%,0.9
Michael Chiesa,Record: 18-6-0,185.4,Welterweight,190.5,Southpaw,1987-12-07,1.88,41%,1.67,54%,3.39,54%,60%,1.0
Michael Cora,Record: 4-1-0,185.4,Welterweight,195.6,Southpaw,1989-08-24,0.80,28%,0.13,66%,0.00,0%,25%,0.0
Michael Diaz,Record: 1-2-0,,Heavyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Michael Graves,Record: 6-0-1,177.8,Welterweight,180.3,Orthodox,1991-01-08,1.25,54%,1.47,58%,4.80,52%,66%,0.4
Michael Johnson,Record: 22-19-0,177.8,Lightweight,185.4,Southpaw,1986-06-04,4.28,39%,3.91,58%,0.46,38%,80%,0.1
Michael Knaap,Record: 18-22-3,188.0,Lightheavyweight,,Orthodox,1984-02-27,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Michael Kuiper,Record: 15-5-0,182.9,Middleweight,185.4,Orthodox,1989-06-07,3.28,54%,3.62,54%,2.30,55%,79%,0.0
Michael Lerma,Record: 0-1-0,,,,,,0.00,0%,6.47,45%,0.00,0%,0%,0.0
Michael Lombardo,Record: 11-2-0 (1 NC),182.9,Welterweight,182.9,Orthodox,1990-04-03,1.47,62%,2.63,31%,2.50,21%,60%,0.0
Michael Mangan,Record: 0-3-0,,Lightweight,,,,1.94,33%,4.52,46%,19.35,50%,100%,0.0
Michael McBride,Record: 8-3-0,185.4,Lightweight,,Orthodox,1986-03-09,4.08,48%,5.85,40%,1.85,42%,30%,1.2
Michael McDonald,Record: 17-4-0,175.3,Bantamweight,177.8,Orthodox,1991-01-15,2.69,42%,2.76,57%,1.09,66%,52%,1.4
Michael McDonald,Record: 1-1-0,180.3,Lightheavyweight,,Orthodox,1965-02-06,0.00,0%,0.40,50%,0.00,0%,0%,0.0
Michael Morales,Record: 14-0-0,182.9,Welterweight,200.7,Orthodox,1999-06-24,5.36,51%,4.10,40%,1.98,40%,86%,0.0
Michael Page,Record: 12-0-0,188.0,Welterweight,,,1987-04-07,4.53,76%,0.45,77%,3.40,100%,100%,0.0
Michael Patt,Record: 12-4-0,182.9,Lightheavyweight,,Orthodox,,1.65,28%,5.53,55%,0.00,0%,0%,0.0
Michael Trizano,Record: 11-3-0,180.3,Featherweight,180.3,Orthodox,1991-12-31,3.63,53%,4.40,50%,0.36,66%,72%,0.5
Michal Figlak,Record: 8-1-0,177.8,Lightweight,177.8,Orthodox,1996-08-15,1.87,29%,4.00,44%,1.00,20%,57%,0.0
Michal Martinek,Record: 7-1-0,188.0,Heavyweight,,Southpaw,1990-04-19,2.45,53%,4.29,51%,0.00,0%,0%,0.0
Michal Oleksiejczuk,Record: 18-6-0 (1 NC),182.9,Middleweight,188.0,Southpaw,1995-02-22,4.82,49%,4.02,62%,0.60,37%,44%,0.0
Micheal Gillmore,Record: 6-5-0,180.3,Welterweight,182.9,Orthodox,1987-03-28,2.04,57%,3.02,43%,0.00,0%,50%,0.0
Michel Batista,Record: 4-1-0 (1 NC),190.5,Heavyweight,,Orthodox,1984-04-20,0.00,0%,4.03,40%,6.72,50%,0%,0.0
Michel Pereira,Record: 28-11-0 (2 NC),185.4,Welterweight,185.4,Orthodox,1993-10-06,5.09,54%,3.78,58%,1.58,55%,94%,0.6
Michel Prazeres,Record: 26-4-0,167.6,Welterweight,170.2,Orthodox,1981-07-25,2.38,47%,2.51,57%,3.94,36%,47%,0.6
Michel Quinones,Record: 8-3-0,177.8,Lightweight,185.4,Orthodox,1984-12-22,2.91,29%,5.98,48%,0.00,0%,36%,0.0
Michelle Maher,Record: 1-2-0,,Featherweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Michelle Waterson-Gomez,Record: 18-11-0,160.0,Flyweight,157.5,Orthodox,1986-01-06,3.63,46%,4.01,51%,1.40,33%,72%,0.7
Michihiro Omigawa,Record: 17-14-1,167.6,Featherweight,172.7,Orthodox,1975-12-19,2.01,39%,3.06,64%,1.19,36%,49%,1.5
Michinori Tanaka,Record: 11-3-0,165.1,Bantamweight,170.2,Orthodox,1990-10-04,1.97,37%,1.99,50%,2.40,38%,43%,0.2
Michiyoshi Ohara,Record: 0-2-0,177.8,Lightheavyweight,,Orthodox,,0.28,29%,3.13,48%,0.00,0%,33%,0.0
Mick Parkin,Record: 6-0-0,193.0,Heavyweight,200.7,Orthodox,1995-10-02,3.59,53%,8.21,30%,15.38,100%,0%,7.7
Mickael Lebout,Record: 16-7-1 (1 NC),180.3,Lightweight,185.4,Orthodox,1987-08-16,2.60,34%,2.98,54%,0.00,0%,60%,0.0
Mickey Gall,Record: 7-5-0,188.0,Welterweight,188.0,Switch,1992-01-22,2.94,46%,4.25,49%,1.21,30%,36%,1.9
Micol Di Segni,Record: 7-3-0,160.0,Flyweight,152.4,Orthodox,1987-12-29,7.47,40%,5.87,33%,0.00,0%,37%,0.0
Miesha Tate,Record: 19-9-0,167.6,Bantamweight,165.1,Orthodox,1986-08-18,2.61,44%,3.10,51%,1.88,29%,55%,1.3
Miguel Baeza,Record: 10-3-0,188.0,Welterweight,188.0,Orthodox,1992-08-23,4.88,49%,5.10,53%,0.44,28%,100%,1.8
Miguel Cosio,Record: 1-13-0,193.0,Lightheavyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Miguel Linares,Record: 2-4-0,,,,,,6.51,50%,8.84,36%,0.00,0%,0%,0.0
Miguel Torres,Record: 44-9-0,175.3,Bantamweight,193.0,Orthodox,1981-01-18,3.98,43%,1.86,74%,0.00,0%,17%,1.6
Miika Mehmet,Record: 3-5-0,,Lightheavyweight,,Orthodox,,0.33,12%,7.29,24%,0.00,0%,0%,0.0
Mike Aina,Record: 14-6-1 (1 NC),175.3,Lightweight,,Orthodox,,2.87,33%,6.33,59%,0.00,0%,71%,0.0
Mike Altman,Record: 1-4-0,177.8,Middleweight,,Orthodox,,1.56,20%,2.08,75%,0.00,0%,0%,0.0
Mike Bencic,Record: 1-2-0,182.9,Lightheavyweight,,Orthodox,,0.00,0%,3.32,53%,0.00,0%,0%,0.0
Mike Bourke,Record: 10-16-1 (1 NC),182.9,Heavyweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mike Breeden,Record: 10-5-0,177.8,Lightweight,177.8,Orthodox,1989-04-21,5.43,42%,6.38,41%,1.44,37%,59%,0.0
Mike Bronzoulis,Record: 18-9-1,182.9,Lightweight,,,1979-01-05,1.13,34%,2.54,37%,0.00,0%,33%,0.0
Mike Brown,Record: 26-9-0,167.6,Featherweight,177.8,Orthodox,1975-09-08,2.98,44%,2.45,60%,3.23,40%,66%,0.6
Mike Budnik,Record: 13-4-0,175.3,Featherweight,172.7,Orthodox,1974-08-08,0.65,52%,0.95,53%,0.00,0%,0%,3.4
Mike Campbell,Record: 13-4-0,175.3,Lightweight,,Southpaw,,1.40,26%,1.40,63%,5.26,100%,0%,0.0
Mike Ciesnolevicz,Record: 19-4-0 (1 NC),182.9,Heavyweight,,Orthodox,1979-10-28,0.51,50%,4.62,57%,0.00,0%,20%,5.1
Mike Cook,Record: 13-13-0,185.4,Lightheavyweight,,Orthodox,,1.72,49%,2.40,46%,1.03,33%,55%,2.1
Mike Davis,Record: 2-0-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mike Davis,Record: 10-2-0,182.9,Lightweight,182.9,Orthodox,1992-10-07,5.83,52%,6.20,56%,3.04,53%,69%,0.2
Mike Dolce,Record: 5-10-0,180.3,Middleweight,,,1976-04-15,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mike Easton,Record: 13-6-0,167.6,Bantamweight,177.8,Southpaw,1984-01-25,3.51,37%,4.28,61%,0.75,22%,66%,0.0
Mike French,Record: 9-10-0,177.8,Featherweight,,,1975-05-29,0.23,23%,2.17,42%,0.00,0%,22%,1.0
Mike Glenn,Record: 5-6-0,,Lightheavyweight,,,1977-10-09,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mike Grundy,Record: 12-4-0,170.2,Featherweight,182.9,Orthodox,1987-01-03,2.09,45%,4.45,56%,4.06,28%,50%,0.4
Mike Guymon,Record: 15-6-1,182.9,Welterweight,188.0,Orthodox,1974-09-17,2.75,65%,0.79,66%,1.87,37%,54%,1.2
Mike Hayes,Record: 20-12-2,193.0,Heavyweight,,Orthodox,,4.87,55%,1.47,77%,0.00,0%,75%,4.0
